date,cases_new,tests_total,icu_covid,positivity_rate,positivity_rate_7d
2023-08-19,114,2872,3,0.03969359331476323,0.027475134812614852
2023-08-20,70,2849,3,0.02457002457002457,0.02678826689949742
2023-08-21,72,4670,1,0.015417558886509636,0.026913558228822642
2023-08-22,105,4160,0,0.025240384615384616,0.027208689693335397
2023-08-23,136,3725,1,0.03651006711409396,0.028104403014079855
2023-08-24,107,3844,0,0.027835587929240374,0.02868643341448701
2023-08-25,116,3460,0,0.03352601156069364,0.028970461141530006
2023-08-26,90,2325,0,0.03870967741935484,0.02882990172790023
2023-08-27,73,2610,0,0.027969348659003832,0.02931551945489727
2023-08-28,66,4598,0,0.014354066985645933,0.029163592040488174
2023-08-29,86,4184,0,0.02055449330783939,0.028494178996553137
2023-08-30,107,3652,2,0.029299014238773274,0.027464028585793044
2023-08-31,81,1847,0,0.04385489983757444,0.029752501715555053
2023-09-01,67,3900,0,0.01717948717948718,0.027417283946811272
2023-09-02,57,2101,15,0.027129938124702522,0.025763035476146657
2023-09-03,77,2968,0,0.025943396226415096,0.025473613700062545
2023-09-04,57,4841,0,0.011774426771328238,0.025105093669445737
2023-09-05,118,4158,1,0.02837902837902838,0.026222884393901306
2023-09-06,101,3802,1,0.026564965807469754,0.025832306046572228
2023-09-07,111,4408,0,0.025181488203266787,0.02316467581309971
2023-09-08,108,3246,0,0.033271719038817,0.025463566078718254
2023-09-09,108,2668,1,0.04047976011994003,0.027370683506609324
2023-09-10,88,4079,3,0.02157391517528806,0.02674647192787689
2023-09-11,71,4503,4,0.015767266266933155,0.027316877570106167
2023-09-12,128,3669,4,0.03488689016080676,0.028246572110360222
2023-09-13,125,3133,2,0.03989786147462496,0.03015127149138239
2023-09-14,122,3020,3,0.04039735099337748,0.032324966175683915
2023-09-15,103,1900,2,0.05421052631578947,0.03531622435810856
2023-09-16,91,2451,2,0.03712770297837617,0.03483735905217087
2023-09-17,86,4770,1,0.018029350104821804,0.034330992613532826
2023-09-18,55,3482,1,0.015795519816197586,0.03433502883485632
2023-09-19,95,3431,2,0.027688720489653162,0.033306718881834375
2023-09-20,122,3524,1,0.034619750283768444,0.032552702997426304
2023-09-21,129,2909,3,0.044345135785493296,0.03311667225344285
2023-09-23,87,2432,2,0.03577302631578947,0.030482743682014275
2023-09-24,74,3690,2,0.02005420054200542,0.028043671905389884
2023-09-25,62,4456,3,0.013913824057450628,0.027455739612908286
2023-09-26,166,3254,2,0.051014136447449294,0.032486970560229964
2023-09-27,155,2140,2,0.07242990654205607,0.03887856856771609
2023-09-28,130,3239,2,0.040135844396418645,0.0396665820123804
2023-09-29,99,2019,2,0.04903417533432392,0.040336444805070495
2023-09-30,97,2680,3,0.03619402985074627,0.04039658816720718
2023-10-01,95,4040,1,0.023514851485148515,0.040890966873370474
2023-10-02,107,3499,1,0.030580165761646183,0.0432718728311127
2023-10-03,152,3482,0,0.043653072946582425,0.04222029233098886
2023-10-04,162,3343,1,0.048459467544122045,0.03879594390271257
